大类	item（L2>L3>L4）	SKU名称	SKU编码	单位	价格
水电维修	水管维修>暗管漏水检测>暗管漏水检测	水管打压测试	sku_water_pipe_pressure_test	次	检测费¥99
水电维修	龙头阀门维修>角阀/软管/阀门>进水软管更换	水压小检测	sku_water_pressure_low_check	次	检测费¥69
水电维修	厨卫水电小修>厨卫综合小修>马桶水箱配件维修	洗衣机进水接口维修	sku_washer_water_inlet_repair	次	¥79-169
防水补漏/精准测漏	精准测漏>基础测漏>基础漏水检测	基础漏水检测	sku_waterproof_leak_detect_basic	次	检测费¥99
防水补漏/精准测漏	精准测漏>基础测漏>红外热成像测漏	红外热成像测漏	sku_waterproof_infrared_detect	次	检测费¥199
防水补漏/精准测漏	精准测漏>打压测试>管道打压测漏	管道打压测漏	sku_waterproof_pressure_test	次	检测费¥149
防水补漏/精准测漏	精准测漏>精准定位>精准漏点定位	精准漏点定位	sku_waterproof_precise_location	次	现场评估后报价 ¥299起
防水补漏/精准测漏	精准测漏>疑难漏水>疑难漏水现场评估	疑难漏水现场评估	sku_waterproof_complex_leak_quote	次	上门评估费¥199·修复报价另计
防水补漏/精准测漏	卫生间防水补漏>免砸砖防水>卫生间免砸砖防水	卫生间免砸砖防水	sku_waterproof_bathroom_no_break	间	¥399-899
防水补漏/精准测漏	卫生间防水补漏>免砸砖防水>地面渗水处理	卫生间地面渗水处理	sku_waterproof_bathroom_floor_leak	间	¥349-799
防水补漏/精准测漏	卫生间防水补漏>墙角/淋浴区>墙角渗水处理	卫生间墙角渗水处理	sku_waterproof_bathroom_corner_leak	处	¥299-599
防水补漏/精准测漏	卫生间防水补漏>墙角/淋浴区>淋浴区防水补漏	淋浴区防水补漏	sku_waterproof_shower_area_repair	处	¥349-799
防水补漏/精准测漏	卫生间防水补漏>洁具周边渗水>马桶底部渗水处理	马桶底部渗水处理	sku_waterproof_toilet_base_leak	处	¥199-399
防水补漏/精准测漏	卫生间防水补漏>洁具周边渗水>地漏周边渗水处理	地漏周边渗水处理	sku_waterproof_floor_drain_leak	处	¥169-349
防水补漏/精准测漏	屋顶/阳台防水>屋顶补漏>屋顶漏水修补	屋顶漏水修补	sku_waterproof_roof_leak_repair	次	¥30-50/㎡
防水补漏/精准测漏	屋顶/阳台防水>屋顶补漏>屋面卷材修补	屋面卷材修补	sku_waterproof_roof_membrane_repair	次	¥25-40/㎡
防水补漏/精准测漏	屋顶/阳台防水>阳台/露台防水>阳台地面防水	阳台地面防水	sku_waterproof_balcony_floor_repair	次	¥30-60/㎡
防水补漏/精准测漏	屋顶/阳台防水>阳台/露台防水>露台防水补漏	露台防水补漏	sku_waterproof_terrace_repair	次	¥35-55/㎡
防水补漏/精准测漏	外墙/窗边渗水>窗边渗水>窗边渗水修补	窗边渗水修补	sku_waterproof_window_edge_leak	扇	¥199-499
防水补漏/精准测漏	外墙/窗边渗水>窗边渗水>窗框密封胶更换	窗框密封胶更换	sku_waterproof_window_sealant_replace	扇	¥149-349
防水补漏/精准测漏	外墙/窗边渗水>外墙/空调孔>外墙裂缝渗水修补	外墙裂缝渗水修补	sku_waterproof_external_wall_crack	次	现场评估后报价 ¥399起
防水补漏/精准测漏	外墙/窗边渗水>外墙/空调孔>空调孔渗水修补	空调孔渗水修补	sku_waterproof_ac_hole_leak	个	¥149-299
防水补漏/精准测漏	管道漏水检测修复>暗管漏水>暗管漏水检测	暗管漏水检测	sku_waterproof_pipe_hidden_leak	次	检测费¥149·修复另计
防水补漏/精准测漏	管道漏水检测修复>明管/接头漏水>明管漏水修复	明管漏水修复	sku_waterproof_pipe_visible_leak	次	¥129-349
防水补漏/精准测漏	管道漏水检测修复>明管/接头漏水>管道接头渗水修复	管道接头渗水修复	sku_waterproof_pipe_joint_leak	处	¥99-249
防水补漏/精准测漏	渗水发霉修复>发霉处理>墙面渗水发霉处理	墙面渗水发霉处理	sku_waterproof_wall_mold_treatment	面	¥199-599
防水补漏/精准测漏	渗水发霉修复>返潮处理>墙面返潮处理	墙面返潮处理	sku_waterproof_wall_damp_repair	面	¥249-699
防水补漏/精准测漏	渗水发霉修复>漏水后修复>漏水后局部修补翻新	渗水基层修复	sku_waterproof_base_layer_repair	处	¥299-899
防水补漏/精准测漏	渗水发霉修复>返潮处理>墙面返潮处理	墙面渗水处理	sku_waterproof_wall_seepage_repair	面	¥249-699
防水补漏/精准测漏	屋顶/阳台防水>屋顶补漏>屋面卷材修补	天沟/排水槽漏水修补	sku_waterproof_gutter_repair	处	¥299-999
防水补漏/精准测漏	管道漏水检测修复>明管/接头漏水>管道接头渗水修复	排水管漏水修复	sku_waterproof_drain_pipe_leak	处	¥129-349
防水补漏/精准测漏	管道漏水检测修复>暗管漏水>暗管漏水检测	水表周边漏水检测	sku_waterproof_water_meter_area_leak	次	检测费¥99
防水补漏/精准测漏	精准测漏>疑难漏水>疑难漏水现场评估	漏水检测报告服务	sku_waterproof_leak_report	次	现场评估后报价 ¥299起
家具家居维修保养	沙发维修保养>皮沙发修复>皮沙发表面修复	皮沙发表面修复	sku_furniture_sofa_leather_repair	处	¥199-499
家具家居维修保养	沙发维修保养>布艺沙发修复>布艺沙发破损修补	布艺沙发破损修补	sku_furniture_sofa_fabric_repair	处	¥149-399
家具家居维修保养	沙发维修保养>沙发结构维修>沙发塌陷维修	沙发塌陷维修	sku_furniture_sofa_sagging_repair	次	¥199-599
家具家居维修保养	沙发维修保养>沙发结构维修>沙发弹簧维修	沙发弹簧维修	sku_furniture_sofa_spring_repair	次	¥169-399
家具家居维修保养	沙发维修保养>皮沙发修复>皮沙发表面修复	沙发保养护理	sku_furniture_sofa_clean_care	次	¥149-349
家具家居维修保养	沙发维修保养>沙发换皮/换布>沙发换皮/换布现场评估	沙发换皮/换布现场评估	sku_furniture_sofa_cover_replace_quote	次	现场评估后报价 ¥150起
家具家居维修保养	床/柜/桌椅维修>床架维修>床架维修加固	床架维修加固	sku_furniture_bed_frame_repair	次	¥149-399
家具家居维修保养	床/柜/桌椅维修>柜子/桌椅维修>衣柜维修	衣柜维修	sku_furniture_wardrobe_repair	次	¥169-449
家具家居维修保养	床/柜/桌椅维修>柜子/桌椅维修>餐桌/书桌维修	餐桌/书桌维修	sku_furniture_table_repair	次	¥129-349
家具家居维修保养	床/柜/桌椅维修>柜子/桌椅维修>餐桌/书桌维修	椅子维修加固	sku_furniture_chair_repair	把	¥89-249
家具家居维修保养	床/柜/桌椅维修>抽屉维修>抽屉维修	抽屉维修	sku_furniture_drawer_repair	个	¥89-249
家具家居维修保养	门窗/五金维修>合页/把手维修>门合页维修更换	门合页维修更换	sku_furniture_door_hinge_repair	个	¥99-249
家具家居维修保养	门窗/五金维修>合页/把手维修>门把手维修更换	门把手维修更换	sku_furniture_door_handle_repair	个	¥89-249(含把手)
家具家居维修保养	门窗/五金维修>推拉门/窗维修>推拉门维修	推拉门维修	sku_furniture_sliding_door_repair	扇	¥129-349
家具家居维修保养	门窗/五金维修>推拉门/窗维修>推拉轨道维修	推拉轨道维修	sku_furniture_sliding_track_repair	处	¥129-349
家具家居维修保养	门窗/五金维修>窗户维修>窗户合页维修	窗户合页维修	sku_furniture_window_hinge_repair	个	¥99-249
家具家居维修保养	地板/墙面小修>地板维修>地板划痕修复	地板划痕修复	sku_furniture_floor_scratch_repair	处	¥129-349
家具家居维修保养	地板/墙面小修>地板维修>地板起翘维修	地板起翘维修	sku_furniture_floor_warp_repair	处	¥169-449
家具家居维修保养	地板/墙面小修>墙面小修>墙面小孔修补	墙面小孔修补	sku_furniture_wall_hole_patch	处	¥99-249
家具家居维修保养	地板/墙面小修>墙面小修>踢脚线维修	踢脚线维修	sku_furniture_baseboard_repair	处	¥99-249
家具家居维修保养	皮革/木器修复>皮革修复>皮革补色修复	皮革补色修复	sku_furniture_leather_color_repair	处	¥169-449
家具家居维修保养	皮革/木器修复>木器修复>木器补漆修复	木器补漆修复	sku_furniture_wood_paint_repair	处	¥149-399
家具家居维修保养	皮革/木器修复>木器修复>木器划痕修复	木器划痕修复	sku_furniture_wood_scratch_repair	处	¥129-349
家具家居维修保养	皮革/木器修复>木器修复>木器划痕修复	木器开裂修复	sku_furniture_crack_repair	处	¥169-449
家具家居维修保养	皮革/木器修复>家具翻新>家具翻新现场评估	家具翻新现场评估	sku_furniture_refurbish_quote	次	现场评估后报价 ¥150起
家具家居维修保养	家居五金/滑轨铰链>铰链/滑轨>家具铰链更换	家具铰链更换	sku_furniture_hinge_replace	个	¥49-99/个
家具家居维修保养	家居五金/滑轨铰链>铰链/滑轨>抽屉滑轨更换	抽屉滑轨更换	sku_furniture_slide_rail_replace	组	¥69-129/组
家具家居维修保养	家居五金/滑轨铰链>拉手/五金件>家具拉手更换	家具拉手更换	sku_furniture_handle_replace	个	¥39-89/个
家具家居维修保养	家居五金/滑轨铰链>拉手/五金件>家具五金组合维修	家具五金组合维修	sku_furniture_hardware_package	次	¥149-399
家具家居维修保养	床/柜/桌椅维修>床架维修>床架维修加固	家具整体加固	sku_furniture_furniture_reinforce	小时	¥120/小时
房屋修缮/局部改造	墙面修补/翻新>墙面局部修补>墙面裂缝修补	墙面裂缝修补	sku_reno_wall_crack_repair	处	¥99-299
房屋修缮/局部改造	墙面修补/翻新>墙面局部修补>墙面起皮脱落修补	墙面起皮脱落修补	sku_reno_wall_peeling_repair	处	¥149-399
房屋修缮/局部改造	墙面修补/翻新>墙面局部修补>墙面孔洞修补	墙面孔洞修补	sku_reno_wall_hole_repair	处	¥99-249
房屋修缮/局部改造	墙面修补/翻新>墙面局部补漆>墙面局部补漆	墙面局部补漆	sku_reno_wall_local_paint	面	¥199-499
房屋修缮/局部改造	墙面修补/翻新>墙面翻新>墙面局部翻新	墙面局部翻新	sku_reno_wall_refresh_area	次	¥25/㎡起
房屋修缮/局部改造	墙面修补/翻新>墙面翻新>单间墙面翻新现场评估	单间墙面翻新现场评估	sku_reno_wall_full_room_quote	次	现场评估后报价 ¥150起
房屋修缮/局部改造	地面/地砖修补>地砖修补>地砖空鼓修复	地砖空鼓修复	sku_reno_tile_hollow_repair	块	¥120-349
房屋修缮/局部改造	地面/地砖修补>地砖修补>破损地砖更换	破损地砖更换	sku_reno_tile_broken_replace	块	¥150-449
房屋修缮/局部改造	地面/地砖修补>地板/过门石>地板局部更换	地板局部更换	sku_reno_floor_local_replace	次	¥249-699
房屋修缮/局部改造	地面/地砖修补>地板/过门石>过门石维修	过门石维修	sku_reno_threshold_stone_repair	处	¥149-399
房屋修缮/局部改造	吊顶/顶面修缮>吊顶裂缝修补>吊顶裂缝修补	吊顶裂缝修补	sku_reno_ceiling_crack_repair	处	¥149-399
房屋修缮/局部改造	吊顶/顶面修缮>石膏板/顶面修复>石膏板吊顶修补	石膏板吊顶修补	sku_reno_ceiling_board_repair	处	¥199-599
房屋修缮/局部改造	吊顶/顶面修缮>顶面漏水后修复>顶面漏水后修复	顶面漏水后修复	sku_reno_ceiling_water_damage_repair	处	¥199-599
房屋修缮/局部改造	吊顶/顶面修缮>顶面漏水后修复>顶面漏水后修复	吊顶检修口安装	sku_reno_ceiling_access_panel	个	¥199-499
房屋修缮/局部改造	门窗局部修缮>门框/窗框修补>门框修补	门框修补	sku_reno_door_frame_repair	处	¥149-399
房屋修缮/局部改造	门窗局部修缮>门框/窗框修补>门套修补	门套修补	sku_reno_door_case_repair	处	¥149-399
房屋修缮/局部改造	门窗局部修缮>密封/窗框修复>窗框修补	窗框修补	sku_reno_window_frame_repair	处	¥149-399
房屋修缮/局部改造	门窗局部修缮>密封/窗框修复>窗户密封修复	窗户密封修复	sku_reno_window_seal_repair	扇	¥129-349
房屋修缮/局部改造	瓷砖/美缝/勾缝>瓷砖缝隙修补>瓷砖缝隙修补	瓷砖缝隙修补	sku_reno_tile_gap_repair	处	¥99-249
房屋修缮/局部改造	瓷砖/美缝/勾缝>瓷砖缝隙修补>瓷砖局部铺贴	瓷砖局部铺贴	sku_reno_tile_local_paste	处	¥199-599
房屋修缮/局部改造	瓷砖/美缝/勾缝>美缝/勾缝>美缝局部修补	美缝局部修补	sku_reno_grout_repair	次	¥10/米起
房屋修缮/局部改造	瓷砖/美缝/勾缝>美缝/勾缝>区域美缝施工	区域美缝施工	sku_reno_grout_full_area	次	¥15/米起
房屋修缮/局部改造	局部改造/小工程>局部拆改>局部拆改现场评估	局部拆改现场评估	sku_reno_partial_demolition_quote	次	现场评估后报价 ¥150起
房屋修缮/局部改造	局部改造/小工程>小面积砌补/隔断>小面积砌补修缮	小面积砌补修缮	sku_reno_small_masonry_repair	次	¥199-599
房屋修缮/局部改造	局部改造/小工程>收口/修补>装修收口修补	装修收口修补	sku_reno_closing_edge_repair	处	¥149-399
房屋修缮/局部改造	局部改造/小工程>小工程按小时>小工程按小时服务	小工程按小时服务	sku_reno_minor_project_hourly	小时	¥120/小时
房屋修缮/局部改造	墙面修补/翻新>墙面局部修补>墙面起皮脱落修补	墙面发霉处理	sku_reno_wall_mold_repair	面	¥199-499
房屋修缮/局部改造	地面/地砖修补>地板/过门石>过门石维修	地面局部找平	sku_reno_floor_leveling_minor	处	¥249-699
房屋修缮/局部改造	吊顶/顶面修缮>吊顶裂缝修补>吊顶裂缝修补	顶面局部补漆	sku_reno_ceiling_local_paint	面	¥199-499
房屋修缮/局部改造	门窗局部修缮>密封/窗框修复>窗户密封修复	门底破损修复	sku_reno_door_bottom_repair	扇	¥129-349
搬家搬运/拆旧清运	家庭搬家>小型搬家>小型家庭搬家	小型家庭搬家	sku_moving_home_small	次	¥199-599
搬家搬运/拆旧清运	家庭搬家>按户型搬家>一居室搬家	一居室搬家	sku_moving_home_one_bedroom	次	¥399-999
搬家搬运/拆旧清运	家庭搬家>按户型搬家>两居室搬家	两居室搬家	sku_moving_home_two_bedroom	次	¥699-1699
搬家搬运/拆旧清运	家庭搬家>整屋搬家现场评估>整屋搬家现场评估	整屋搬家现场评估	sku_moving_home_whole_house_quote	次	现场评估后报价 ¥150起
搬家搬运/拆旧清运	家庭搬家>搬家配套服务>搬家打包服务	搬家打包服务	sku_moving_home_packing_service	次	¥299-899
搬家搬运/拆旧清运	家庭搬家>搬家配套服务>搬家人工按小时	搬家人工按小时服务	sku_moving_home_labor_hourly	小时	¥80/人/小时
搬家搬运/拆旧清运	大件搬运>家具搬运>沙发搬运	沙发搬运	sku_moving_sofa_move	件	¥120-349
搬家搬运/拆旧清运	大件搬运>家具搬运>床/床垫搬运	床/床垫搬运	sku_moving_bed_move	件	¥99-299
搬家搬运/拆旧清运	大件搬运>家具搬运>衣柜搬运	衣柜搬运	sku_moving_wardrobe_move	件	¥149-449
搬家搬运/拆旧清运	大件搬运>家电搬运>冰箱搬运	冰箱搬运	sku_moving_refrigerator_move	台	¥120-349
搬家搬运/拆旧清运	大件搬运>家电搬运>洗衣机搬运	洗衣机搬运	sku_moving_washer_move	台	¥89-249
搬家搬运/拆旧清运	大件搬运>特殊物品搬运>钢琴搬运现场评估	钢琴搬运现场评估	sku_moving_piano_quote	次	现场评估后报价 ¥200起
搬家搬运/拆旧清运	大件搬运>特殊物品搬运>鱼缸搬运现场评估	鱼缸搬运现场评估	sku_moving_aquarium_quote	次	现场评估后报价 ¥200起
搬家搬运/拆旧清运	办公搬迁>小型办公室搬迁>小型办公室搬迁	小型办公室搬迁	sku_moving_office_small	次	¥599-1999
搬家搬运/拆旧清运	办公搬迁>小型办公室搬迁>工位搬迁	工位搬迁	sku_moving_office_workstation	工位	¥99-199/工位
搬家搬运/拆旧清运	办公搬迁>办公设备/文件柜>文件柜搬运	文件柜搬运	sku_moving_office_cabinet_move	件	¥129-349
搬家搬运/拆旧清运	办公搬迁>夜间办公搬迁>夜间办公搬迁现场评估	夜间办公搬迁现场评估	sku_moving_office_night_quote	次	现场评估后报价 ¥300起
搬家搬运/拆旧清运	家电家具移位搬动>室内移位>家电室内移位	家电室内移位	sku_moving_appliance_indoor_shift	次	¥89-249
搬家搬运/拆旧清运	家电家具移位搬动>室内移位>家具室内移位	家具室内移位	sku_moving_furniture_indoor_shift	次	¥99-299
搬家搬运/拆旧清运	家电家具移位搬动>楼层/短途搬运>上下楼搬运	上下楼搬运	sku_moving_floor_carry	层/件	¥50/层/件
搬家搬运/拆旧清运	家电家具移位搬动>楼层/短途搬运>无电梯搬运加项	无电梯搬运加项	sku_moving_no_elevator_extra	层/件	¥30/层/件
搬家搬运/拆旧清运	拆旧清运>旧家具拆除>旧家具拆除清运	旧家具拆除清运	sku_moving_old_furniture_remove	件	¥149-499
搬家搬运/拆旧清运	拆旧清运>旧橱柜/地板/吊顶拆除>旧橱柜拆除清运	旧橱柜拆除清运	sku_moving_old_cabinet_remove	次	¥199-699
搬家搬运/拆旧清运	拆旧清运>旧橱柜/地板/吊顶拆除>旧地板拆除清运	旧地板拆除清运	sku_moving_old_floor_remove	次	¥249-899
搬家搬运/拆旧清运	拆旧清运>局部拆旧>局部拆旧现场评估	局部拆旧现场评估	sku_moving_partial_demolition_quote	次	现场评估后报价 ¥150起
搬家搬运/拆旧清运	垃圾/建材清运>袋装垃圾清运>袋装装修垃圾清运	袋装装修垃圾清运	sku_moving_renovation_waste_bag	袋	¥20/袋
搬家搬运/拆旧清运	垃圾/建材清运>按车垃圾清运>装修垃圾按车清运	装修垃圾按车清运	sku_moving_renovation_waste_cart	车	¥300/车
搬家搬运/拆旧清运	垃圾/建材清运>按车垃圾清运>大件垃圾清运	大件垃圾清运	sku_moving_large_waste_clear	次	¥149-499
搬家搬运/拆旧清运	垃圾/建材清运>建材清运>建材清运	建材清运	sku_moving_building_material_clear	次	¥249-999
搬家搬运/拆旧清运	大件搬运>特殊物品搬运>鱼缸搬运现场评估	健身器材搬运现场评估	sku_moving_fitness_equipment_quote	次	现场评估后报价 ¥200起
甲醛检测治理	甲醛检测>单点/多点检测>甲醛单点检测	甲醛单点检测	sku_formaldehyde_detect_single_point	点	¥99-199
甲醛检测治理	甲醛检测>单点/多点检测>甲醛多点检测	甲醛多点检测	sku_formaldehyde_detect_multi_point	次	¥199-599
甲醛检测治理	甲醛检测>专项检测>CMA资质检测现场评估	CMA资质检测现场评估	sku_formaldehyde_detect_cma_quote	次	现场评估后报价 ¥299起
甲醛检测治理	甲醛检测>专项检测>儿童房甲醛检测	儿童房甲醛检测	sku_formaldehyde_detect_children_room	间	¥149-299
甲醛检测治理	甲醛治理>基础/深度治理>甲醛基础治理	甲醛基础治理	sku_formaldehyde_treat_basic_area	次	¥18/㎡起
甲醛检测治理	甲醛治理>基础/深度治理>甲醛深度治理	甲醛深度治理	sku_formaldehyde_treat_deep_area	次	¥28/㎡起
甲醛检测治理	甲醛治理>专项治理>光触媒治理	光触媒治理	sku_formaldehyde_treat_photocatalyst	次	¥499-1999
甲醛检测治理	甲醛治理>专项治理>装修异味治理	装修异味治理	sku_formaldehyde_treat_odor_removal	次	¥349-1299
甲醛检测治理	新房/装修后治理>新房/入住前治理>新房甲醛治理	新房甲醛治理	sku_formaldehyde_new_home_basic	次	¥18-28/㎡
甲醛检测治理	新房/装修后治理>新房/入住前治理>入住前治理套餐	入住前治理套餐	sku_formaldehyde_before_movein_package	套	¥899-3999
甲醛检测治理	新房/装修后治理>特殊房间治理>儿童房甲醛治理	儿童房甲醛治理	sku_formaldehyde_children_room_treat	间	¥399-1299
甲醛检测治理	办公/商铺治理>办公/商铺检测>办公室空气检测	办公室空气检测	sku_formaldehyde_office_detect	次	¥299-999
甲醛检测治理	办公/商铺治理>办公/商铺检测>办公室甲醛治理	办公室甲醛治理	sku_formaldehyde_office_treat_area	次	¥15-25/㎡
甲醛检测治理	办公/商铺治理>大空间/特殊场所>大面积空间治理现场评估	大面积空间治理现场评估	sku_formaldehyde_large_space_quote	次	现场评估后报价 ¥500起
甲醛检测治理	家具/局部治理>衣柜/板材家具>衣柜甲醛治理	衣柜甲醛治理	sku_formaldehyde_wardrobe_treat	件	¥199-599
甲醛检测治理	家具/局部治理>衣柜/板材家具>板材家具甲醛治理	板材家具甲醛治理	sku_formaldehyde_panel_furniture_treat	次	¥249-799
甲醛检测治理	家具/局部治理>局部/软装>局部污染源治理	局部污染源治理	sku_formaldehyde_local_source_treat	处	¥299-999
甲醛检测治理	复检/长效养护>治理后复检>治理后复检	治理后复检	sku_formaldehyde_after_treat_recheck	次	¥99-199
甲醛检测治理	复检/长效养护>周期复检/养护>周期空气复检	周期空气复检	sku_formaldehyde_periodic_recheck	次	¥149-399
甲醛检测治理	复检/长效养护>长效空气养护>长效空气养护	长效空气养护	sku_formaldehyde_long_term_care	次	¥299-999
甲醛检测治理	复检/长效养护>空气治理方案>空气治理方案现场评估	空气治理方案现场评估	sku_formaldehyde_air_solution_quote	次	现场评估后报价 ¥200起
甲醛检测治理	甲醛治理>治理套餐>空气质量改善套餐	空气质量改善套餐	sku_formaldehyde_air_quality_package	套	¥799-2999
甲醛检测治理	办公/商铺治理>商铺治理>商铺甲醛治理	商铺甲醛治理	sku_formaldehyde_shop_treat_area	次	¥15-25/㎡
甲醛检测治理	办公/商铺治理>学校/培训机构>学校/培训机构治理评估	学校/培训机构治理评估	sku_formaldehyde_school_quote	次	现场评估后报价 ¥500起
甲醛检测治理	甲醛检测>专项检测>儿童房甲醛检测	新房入住前检测	sku_formaldehyde_office_detect_new	次	¥199-499
甲醛检测治理	家具/局部治理>沙发/窗帘布艺>沙发/软装异味处理	沙发/软装异味处理	sku_formaldehyde_sofa_fabric_odor_treat	件	¥199-599
甲醛检测治理	家具/局部治理>沙发/窗帘布艺>窗帘布艺异味处理	窗帘布艺异味处理	sku_formaldehyde_curtain_fabric_treat	次	¥149-499
甲醛检测治理	新房/装修后治理>新房/入住前治理>入住前治理套餐	装修后深度治理	sku_formaldehyde_renovated_home_deep	次	¥28-35/㎡
甲醛检测治理	新房/装修后治理>特殊房间治理>儿童房甲醛治理	母婴房甲醛治理	sku_formaldehyde_maternity_room_treat	间	¥399-1299
甲醛检测治理	办公/商铺治理>办公/商铺检测>办公室甲醛治理	办公设备治理	sku_formaldehyde_office_equipment_treat	次	¥349-999
数码办公维修	电脑维修>开机/蓝屏/卡顿>无法开机维修	电脑无法开机维修	sku_digital_pc_boot_repair	次	检测费¥80·维修另计
数码办公维修	电脑维修>开机/蓝屏/卡顿>蓝屏维修	电脑蓝屏维修	sku_digital_pc_blue_screen_repair	次	检测费¥80·维修另计
数码办公维修	电脑维修>开机/蓝屏/卡顿>卡顿优化	电脑卡顿优化	sku_digital_pc_slow_optimize	次	¥99-299
数码办公维修	电脑维修>笔记本硬件>笔记本屏幕更换	笔记本屏幕更换	sku_digital_laptop_screen_replace	次	¥299-1500(含屏)
数码办公维修	电脑维修>笔记本硬件>笔记本键盘更换	笔记本键盘更换	sku_digital_laptop_keyboard_replace	次	¥199-599
数码办公维修	电脑维修>笔记本硬件>笔记本电池更换	笔记本电池更换	sku_digital_laptop_battery_replace	次	¥199-599
数码办公维修	打印机/办公设备>打印机故障>无法打印维修	打印机无法打印维修	sku_digital_printer_not_printing	次	检测费¥80·维修另计
数码办公维修	打印机/办公设备>打印机故障>卡纸处理	打印机卡纸处理	sku_digital_printer_paper_jam	次	¥69-169
数码办公维修	打印机/办公设备>打印机安装配置>网络打印机配置	网络打印机配置	sku_digital_printer_network_setup	台	¥99-249
数码办公维修	网络/Wi-Fi>路由器/组网>路由器安装配置	路由器安装配置	sku_digital_router_setup	次	¥99-249
数码办公维修	网络/Wi-Fi>路由器/组网>Mesh组网安装	Mesh组网安装	sku_digital_mesh_wifi_setup	次	¥199-499
数码办公维修	网络/Wi-Fi>Wi-Fi/宽带>Wi-Fi信号优化	Wi-Fi信号优化	sku_digital_wifi_weak_optimize	次	检测费¥80·优化另计
数码办公维修	网络/Wi-Fi>Wi-Fi/宽带>宽带联网配置	宽带联网配置	sku_digital_broadband_setup	次	¥99-199
数码办公维修	手机/平板小修>手机维修>手机屏幕维修评估	手机屏幕维修评估	sku_digital_phone_screen_quote	次	现场评估后报价 ¥99起
数码办公维修	手机/平板小修>手机维修>手机电池更换	手机电池更换	sku_digital_phone_battery_replace	次	¥99-399
数码办公维修	数据/系统/软件>操作系统/软件>操作系统安装	操作系统安装	sku_digital_os_install	次	¥99-249
数码办公维修	数据/系统/软件>操作系统/软件>常用软件安装	常用软件安装	sku_digital_software_install	次	¥69-169
数码办公维修	数据/系统/软件>数据恢复/备份>数据恢复现场评估	数据恢复现场评估	sku_digital_data_recovery_quote	次	现场评估后报价 ¥199起
数码办公维修	办公设备安装调试>办公设备安装>办公设备安装调试	办公设备安装调试	sku_digital_office_device_setup	次	¥149-399
数码办公维修	办公设备安装调试>会议室/布线>会议室设备调试	会议室设备调试	sku_digital_meeting_room_setup	次	¥199-599
数码办公维修	电脑维修>开机/蓝屏/卡顿>卡顿优化	电脑病毒查杀	sku_digital_virus_remove	次	¥99-249
数码办公维修	数据/系统/软件>操作系统/软件>常用软件安装	数据备份	sku_digital_data_backup	次	¥79-199
数码办公维修	打印机/办公设备>打印机故障>卡纸处理	打印机墨盒/硒鼓问题	sku_digital_printer_ink_issue	次	¥69-199
数码办公维修	打印机/办公设备>打印机安装配置>网络打印机配置	扫描仪安装调试	sku_digital_scanner_setup	台	¥99-249
数码办公维修	办公设备安装调试>办公设备安装>办公设备安装调试	投影仪安装调试	sku_digital_projector_setup	台	¥149-399
数码办公维修	办公设备安装调试>会议室/布线>会议室设备调试	摄像头安装调试	sku_digital_camera_setup	个	¥129-349
数码办公维修	数据/系统/软件>操作系统/软件>常用软件安装	远程技术支持按小时	sku_digital_remote_support_hourly	小时	¥59/小时
数码办公维修	手机/平板小修>手机维修>手机屏幕维修评估	平板屏幕维修评估	sku_digital_tablet_screen_quote	次	现场评估后报价
数码办公维修	网络/Wi-Fi>Wi-Fi/宽带>Wi-Fi信号优化	网络故障排查	sku_digital_network_fault_check	次	检测费¥80
数码办公维修	办公设备安装调试>会议室/布线>会议室设备调试	办公网络布线现场评估	sku_digital_office_network_quote	次	现场评估后报价
数码办公维修	电脑维修>开机/蓝屏/卡顿>卡顿优化	数码设备清洁保养	sku_digital_device_cleaning	台	¥69-169
洗衣洗鞋	衣物清洗>外套/大衣>大衣清洗	大衣清洗	sku_laundry_coat_clean	件	¥49-129
洗衣洗鞋	衣物清洗>外套/大衣>羽绒服清洗	羽绒服清洗	sku_laundry_down_jacket_clean	件	¥59-149
洗衣洗鞋	衣物清洗>西装/礼服/衬衫>西装清洗	西装清洗	sku_laundry_suit_clean	套	¥39-99
洗衣洗鞋	衣物清洗>西装/礼服/衬衫>衬衫清洗	衬衫清洗	sku_laundry_shirt_clean	件	¥19-49/件
洗衣洗鞋	衣物清洗>毛衣/针织>毛衣清洗	毛衣清洗	sku_laundry_sweater_clean	件	¥39-99
洗衣洗鞋	鞋类清洗>运动鞋/皮鞋>运动鞋清洗	运动鞋清洗	sku_laundry_sneaker_clean	双	¥39-89/双
洗衣洗鞋	鞋类清洗>运动鞋/皮鞋>皮鞋清洗护理	皮鞋清洗护理	sku_laundry_leather_shoe_clean	双	¥59-149/双
洗衣洗鞋	鞋类清洗>靴子/麂皮/深度>靴子清洗护理	靴子清洗护理	sku_laundry_boot_clean	双	¥69-169/双
洗衣洗鞋	鞋类清洗>靴子/麂皮/深度>麂皮鞋清洗护理	麂皮鞋清洗护理	sku_laundry_suede_shoe_clean	双	¥79-199/双
洗衣洗鞋	包具清洗护理>基础清洗>包具基础清洗	包具基础清洗	sku_laundry_bag_basic_clean	个	¥59-169
洗衣洗鞋	包具清洗护理>基础清洗>帆布包清洗	帆布包清洗	sku_laundry_canvas_bag_clean	个	¥49-129
洗衣洗鞋	包具清洗护理>皮包护理/补色>皮包护理	皮包护理	sku_laundry_leather_bag_care	个	¥99-299
